procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
Sell - Pre registration,Azizi Venice 15,عزيزي فينس 15 - مبنى أيه,684000,Residential,0,102,60.0,35.36,بيع - تسجيل مبدئى,2025-10-10,عزيزي فينيس 15,Azizi Venice 15 - Building A,سكني,462,3,,1,19343.89,مبايعات,,0.0,,2.0,1.0,Sales,,1-102-2025-101227,استوديو,,Unit,Dubai World Central,,Studio,Madinat Al Mataar,وحدة,1,2026-03-26 10:08:27,,مدينة المطار,Off-Plan Properties,Flat,3741.0,,على الخارطة,شقه سكنيه,دبي ورلد سنترال
Sell - Pre registration,Berkeley Square by Prestige One,بيركلي سكوير من بريستيج,1281162,Residential,0,102,60.0,67.39,بيع - تسجيل مبدئى,2025-10-27,باركلي سكوير من برستيج ون,BERKELEY SQUARE BY PRESTIGE ONE,سكني,441,3,Nakheel Metro Station,1,19011.16,مبايعات,Marina Mall,0.0,محطة مترو النخيل,1.0,1.0,Sales,مارينا مول,1-102-2025-107084,غرفة,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,1 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,3847.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Mortgage Registration,TAMANI ARTS OFFICES,Tamani Arts Office,301690,Commercial,1,13,42.0,26.86,تسجيل رهن,2025-10-28,مكاتب تماني للفنون,Tamani Arts Office,تجاري,526,3,Buj Khalifa Dubai Mall Metro Station,1,11231.94,رهون,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,1.0,2.0,Mortgages,مول دبي,2-13-2025-31153,مكتب,,Unit,Business Bay,Downtown Dubai,Office,Business Bay,وحدة,2,2026-03-26 10:08:27,وسط مدينة دبي,الخليج التجارى,Existing Properties,Office,22.0,,العقارات القائمة,مكتب,الخليج التجاري
Sell - Pre registration,Montiva,مونتيفا,3073888,Residential,0,102,60.0,115.0,بيع - تسجيل مبدئى,2025-10-30,مونتيفا,Montiva,سكني,447,3,,1,26729.46,مبايعات,,0.0,,1.0,1.0,Sales,,1-102-2025-109283,غرفتين,,Unit,Dubai Creek Harbour,,2 B/R,Al Khairan First,وحدة,1,2026-03-26 10:08:27,,الخيران الأولى,Off-Plan Properties,Flat,3744.0,,على الخارطة,شقه سكنيه,خور دبي
Mortgage Registration,,زين 20,616000,Residential,1,13,60.0,89.38,تسجيل رهن,2025-11-03,,ZEN2-20,سكني,284,3,Harbour Tower,1,6891.92,رهون,Ibn-e-Battuta Mall,0.0,برج هاربور,1.0,1.0,Mortgages,ابن بطوطة مول,2-13-2025-31712,غرفة,,Unit,Discovery Gardens,Sports City Swimming Academy,1 B/R,Jabal Ali,وحدة,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,جبل على,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,الحدائق المكتشفة
Mortgage Registration,,ايكون 2,1450000,Residential,1,13,60.0,144.58,تسجيل رهن,2025-11-03,,ICON 2,سكني,350,3,Jumeirah Lakes Towers,1,10029.05,رهون,Marina Mall,0.0,أبراج بحيرات جميرا,1.0,1.0,Mortgages,مارينا مول,2-13-2025-31857,ثلاث غرف,,Unit,Jumeirah Lakes Towers,Sports City Swimming Academy,3 B/R,Al Thanyah Fifth,وحدة,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الخامسة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه, ابراج بحيرات الجميرا
Sell - Pre registration,SOL LEVANTE,سول ليفانتي,780000,Residential,0,102,60.0,39.01,بيع - تسجيل مبدئى,2025-11-07,سول ليفانتي,Sol Levante,سكني,442,3,Harbour Tower,1,19994.87,مبايعات,Ibn-e-Battuta Mall,0.0,برج هاربور,1.0,1.0,Sales,ابن بطوطة مول,1-102-2025-112622,استوديو,,Unit,Jumeirah Village Triangle,Sports City Swimming Academy,Studio,Al Barsha South Fifth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الخامسة,Off-Plan Properties,Flat,3642.0,,على الخارطة,شقه سكنيه,قرية جميرا المثلثة
Delayed Sell,AZIZI RIVIERA 61,عزيزي ريفييرا 61,785070,Residential,1,41,60.0,31.52,بيع مبدئى,2025-11-21,عزيزى ريفيرا 61,AZIZI RIVIERA 61,سكني,412,3,Buj Khalifa Dubai Mall Metro Station,1,24907.04,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,1.0,1.0,Sales,مول دبي,1-41-2025-29805,استوديو,,Unit,Meydan One Community,Downtown Dubai,Studio,Al Merkadh,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,المركاض,Existing Properties,Flat,2817.0,,العقارات القائمة,شقه سكنيه,مجمع ميدان ون
Sell - Pre registration,PEARL HOUSE IV BY IMTIAZ,?ن ا????ز IV ??رل ??وس,1222956,Residential,0,102,60.0,74.58,بيع - تسجيل مبدئى,2025-11-21, من امتياز IV بيرل هاوس,PEARL HOUSE IV BY IMTIAZ,سكني,441,3,Dubai Internet City,1,16397.91,مبايعات,Marina Mall,0.0,مدينة دبي للإنترنت,1.0,1.0,Sales,مارينا مول,1-102-2025-119348,غرفة,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,1 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,4129.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Sell - Pre registration,Symbolic Altus,سيمبوليك ألتوس,939060,Residential,0,102,60.0,73.89,بيع - تسجيل مبدئى,2025-12-03,سيمبوليك آلتوس,Symbolic Altus,سكني,464,3,,1,12708.89,مبايعات,,0.0,,2.0,1.0,Sales,,1-102-2025-123299,غرفة,,Unit,Liwan1,IMG World Adventures,1 B/R,Wadi Al Safa 2,وحدة,1,2026-03-26 10:08:27,آي إم جي وورلد أدفينتشرز,وادي الصفا 2,Off-Plan Properties,Flat,4126.0,,على الخارطة,شقه سكنيه,ليوان 1
Sell,LE GRAND CHATEAU,لي جراند شاتيو,750000,Residential,1,11,60.0,89.35,بيع,2025-12-08,لو جراند شاتو,LE GRAND CHATEAU ,سكني,441,3,Dubai Internet City,1,8393.96,مبايعات,Mall of the Emirates,0.0,مدينة دبي للإنترنت,1.0,1.0,Sales,مول الإمارات,1-11-2025-51255,غرفة,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,1 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Existing Properties,Flat,1474.0,,العقارات القائمة,شقه سكنيه,قرية جميرا الدائرية
