STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,UNIT_MEASURE,Unit of measure,REF_AREA,Reference area,FREQ,Frequency,H_TYPE,Hotel Type,H_INDICATOR,Hotels Indicator,GUEST_REGION,Guests Nationality,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,35653,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,34970,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,35893,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,35747,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,35762,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,35805,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,36599,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,324,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,312,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,315,,,,,,,,,
